"slug","legal_name","brand_name","primary_category","website","verification_status","reason"
"crevance-credit","CREVANCE CREDIT LIMITED","CREVANCE.COM","digital-lender","","officially-verified","official-website-and-logo-source-required"
"lantana-tech","LANTANA TECH LIMITED","CRIMSON","digital-lender","","officially-verified","official-website-and-logo-source-required"
"cristal-hope-insurance-brokers-l-t-d","Cristal Hope Insurance Brokers L.t.d","Cristal Hope Insurance Brokers L.t.d","insurance-broker","","officially-verified","official-website-and-logo-source-required"
"criterion-international-link-insurance-brokers","Criterion International Link Insurance Brokers Ltd","Criterion International Link Insurance Brokers","insurance-broker","","officially-verified","official-website-and-logo-source-required"
"crowd-force","Crowd Force Limited","Crowd Force","super-agent","","officially-verified","official-website-and-logo-source-required"
"crown-insurance-brokers","Crown Insurance Brokers Ltd","Crown Insurance Brokers","insurance-broker","","officially-verified","official-website-and-logo-source-required"
"crusader-sterling-pensions","Crusader Sterling Pensions Limited","Crusader Sterling Pensions","pension-fund-administrator","","officially-verified","official-website-and-logo-source-required"
"crust-dew","CRUST DEW LIMITED","CRUSTCASH","digital-lender","","officially-verified","official-website-and-logo-source-required"
"crystal-and-diamond-insurance-brokers-l-t-d","Crystal & Diamond Insurance Brokers L.t.d","Crystal & Diamond Insurance Brokers L.t.d","insurance-broker","","officially-verified","official-website-and-logo-source-required"
"crystal-trust-insurance-brokers-l-t-d","Crystal Trust Insurance Brokers L.t.d","Crystal Trust Insurance Brokers L.t.d","insurance-broker","","officially-verified","official-website-and-logo-source-required"
"csense","CSENSE LIMITED","CSENSE","digital-lender","","officially-verified","official-website-and-logo-source-required"
"csi-insurance-brokers","CSI Insurance Brokers Ltd","CSI Insurance Brokers","insurance-broker","","officially-verified","official-website-and-logo-source-required"
"cti-insurance-brokers","CTI Insurance Brokers Ltd","CTI Insurance Brokers","insurance-broker","","officially-verified","official-website-and-logo-source-required"
"currenzo","CURRENZO NIGERIA LIMITED","CURRENZO","remittance-imto","","officially-verified","official-website-and-logo-source-required"
"cyberpay","Cyberpay Limited","Cyberpay","payment-terminal-service-provider","","officially-verified","official-website-and-logo-source-required"
"damagix-insurance-brokers","Damagix Insurance Brokers Ltd","Damagix Insurance Brokers","insurance-broker","","officially-verified","official-website-and-logo-source-required"
"daneizo-trade-africa","DANEIZO TRADE AFRICA LIMITED","DANEIZO CREDIT","digital-lender","","officially-verified","official-website-and-logo-source-required"
"danemteh-insurance-brokers","Danemteh Insurance Brokers Ltd","Danemteh Insurance Brokers","insurance-broker","","officially-verified","official-website-and-logo-source-required"
"davisther-insurance-brokers","Davisther Insurance Brokers Ltd","Davisther Insurance Brokers","insurance-broker","","officially-verified","official-website-and-logo-source-required"
"decipher-insurance-brokers","DECIPHER INSURANCE BROKERS LIMITED","DECIPHER INSURANCE BROKERS","insurance-broker","","officially-verified","official-website-and-logo-source-required"
"demerge","Demerge Nigeria Limited","Demerge","payment-solution-service-provider","","officially-verified","official-website-and-logo-source-required"
"denon-global-insurance-brokers-l-t-d","Denon Global Insurance Brokers L.t.d","Denon Global Insurance Brokers L.t.d","insurance-broker","","officially-verified","official-website-and-logo-source-required"
"denos-insurance-brokers-l-t-d","Denos Insurance Brokers L.t.d","Denos Insurance Brokers L.t.d","insurance-broker","","officially-verified","official-website-and-logo-source-required"
"deshaven","DESHAVEN LIMITED","DESHAVEN FAST CASH","digital-lender","","officially-verified","official-website-and-logo-source-required"
"destiny-insurance-brokers","Destiny Insurance Brokers Ltd","Destiny Insurance Brokers","insurance-broker","","officially-verified","official-website-and-logo-source-required"
"devtage-financial-services","DEVTAGE FINANCIAL SERVICES LIMITED","DEVTAGE","digital-lender","","officially-verified","official-website-and-logo-source-required"
"dichmark-insurance-brokers","Dichmark Insurance Brokers Ltd","Dichmark Insurance Brokers","insurance-broker","","officially-verified","official-website-and-logo-source-required"
"dig-insurance-brokers","Dig Insurance Brokers Ltd","Dig Insurance Brokers","insurance-broker","","officially-verified","official-website-and-logo-source-required"
"digital-delight-integrated-support-service","DIGITAL DELIGHT INTEGRATED SUPPORT SERVICE LTD","DIGITAL DELIGHT INTEGRATED SUPPORT SERVICE","digital-lender","","officially-verified","official-website-and-logo-source-required"
"crestdigital-technology","CRESTDIGITAL TECHNOLOGY LIMITED","DIGITCASH","digital-lender","","officially-verified","official-website-and-logo-source-required"
"dillas-insurance-brokers","Dillas Insurance Brokers Ltd","Dillas Insurance Brokers","insurance-broker","","officially-verified","official-website-and-logo-source-required"
"dipod-insurance-brokers","Dipod Insurance Brokers Ltd","Dipod Insurance Brokers","insurance-broker","","officially-verified","official-website-and-logo-source-required"
"dover-credit","DOVER CREDIT LIMITED","DOCREDIT","digital-lender","","officially-verified","official-website-and-logo-source-required"
"doku-technology","DOKU TECHNOLOGY LIMITED","DOKUCREDIT","digital-lender","","officially-verified","official-website-and-logo-source-required"
"fedha","FEDHA LIMITED","DOLE","digital-lender","","officially-verified","official-website-and-logo-source-required"
"dominion-merchants-and-partners","DOMINION MERCHANTS & PARTNERS LIMITED","DOMINION MERCHANTS","digital-lender","","officially-verified","official-website-and-logo-source-required"
"dorchester-int-insurance-brokers","Dorchester Int. Insurance brokers Ltd","Dorchester Int. Insurance brokers","insurance-broker","","officially-verified","official-website-and-logo-source-required"
"dot-financial-inclusion-technologies","Dot Financial Inclusion Technologies Limited","Dot Financial Inclusion Technologies","super-agent","","officially-verified","official-website-and-logo-source-required"
"dot-microinsurance","DOT MICROINSURANCE LIMITED","DOT MICROINSURANCE","insurer","","officially-verified","official-website-and-logo-source-required"
"dot-microfinance-bank","DOT MICROFINANCE BANK LIMITED","DOTBANK","digital-lender","","officially-verified","official-website-and-logo-source-required"
"dove-insurance-brokers-l-t-d","Dove insurance Brokers L.t.d","Dove insurance Brokers L.t.d","insurance-broker","","officially-verified","official-website-and-logo-source-required"
"down-stream-insurance-brokers","Down-Stream Insurance Brokers Ltd","Down-Stream Insurance Brokers","insurance-broker","","officially-verified","official-website-and-logo-source-required"
"dreamcity-capital","DreamCity Capital Ltd","DreamCity","crypto-vasp","","officially-verified","official-website-and-logo-source-required"
"bluvertex","BLUVERTEX LIMITED","DUMAPAY","digital-lender","","officially-verified","official-website-and-logo-source-required"
"duplo","Duplo Limited","Duplo","payment-solution-service-provider","","officially-verified","official-website-and-logo-source-required"
"dwam-insurance-brokers","Dwam Insurance Brokers Ltd","Dwam Insurance Brokers","insurance-broker","","officially-verified","official-website-and-logo-source-required"
"dykes-insurance-brokers-l-t-d","Dykes Insurance Brokers L.t.d","Dykes Insurance Brokers L.t.d","insurance-broker","","officially-verified","official-website-and-logo-source-required"
"dynamique-credit-system","DYNAMIQUE CREDIT SYSTEM LIMITED","DYNAMIQUEIOS","digital-lender","","officially-verified","official-website-and-logo-source-required"
"e-2-e-pay","e-2-e PAY LIMITED","e-2-e PAY","remittance-imto","","officially-verified","official-website-and-logo-source-required"
"e-settlement","E-Settlement Limited","E-Settlement","super-agent","","officially-verified","official-website-and-logo-source-required"
"dt-one","DT ONE NIGERIA LIMITED","E-WALLET","digital-lender","","officially-verified","official-website-and-logo-source-required"
"passeco-technology","PASSECO TECHNOLOGY NIGERIA LIMITED","E4MONI","digital-lender","","officially-verified","official-website-and-logo-source-required"
"eas-insurance-brokers","EAS Insurance Brokers Ltd","EAS Insurance Brokers","insurance-broker","","officially-verified","official-website-and-logo-source-required"
"futurecrest-internet-technology","FUTURECREST INTERNET TECHNOLOGY LTD","EASE CASH","digital-lender","","officially-verified","official-website-and-logo-source-required"
"opay-microfinance-bank","OPAY MICROFINANCE BANK LTD","EASEMONI","digital-lender","","officially-verified","official-website-and-logo-source-required"
"eastcoast-insurance-brokers","Eastcoast Insurance Brokers ltd","Eastcoast Insurance Brokers","insurance-broker","","officially-verified","official-website-and-logo-source-required"
"eastgate-insurance-brokers","Eastgate Insurance Brokers Ltd","Eastgate Insurance Brokers","insurance-broker","","officially-verified","official-website-and-logo-source-required"
"eazy-credit-and-asset","EAZY CREDIT & ASSET LTD","EASY CREDIT APP.","digital-lender","","officially-verified","official-website-and-logo-source-required"
"newedge-finance","NEWEDGE FINANCE LIMITED","EASYBUY","digital-lender","","officially-verified","official-website-and-logo-source-required"
"papichou-technology","PAPICHOU TECHNOLOGY LIMITED","EASYFUND","digital-lender","","officially-verified","official-website-and-logo-source-required"
"betheone-lending","BETHEONE LENDING NIGERIA LIMITED","EASYNAIRA","digital-lender","","officially-verified","official-website-and-logo-source-required"
"easypay-international-services","Easypay International Services Limited","Easypay International Services","payment-solution-service-provider","","officially-verified","official-website-and-logo-source-required"
"regal-stallion","REGAL STALLION LIMITED","EASYPAYPHONE","digital-lender","","officially-verified","official-website-and-logo-source-required"
"myeazi-technology-services","MYEAZI TECHNOLOGY SERVICES","EAZIPAY MOBILE","digital-lender","","officially-verified","official-website-and-logo-source-required"
"eazzy-tranzact-payment-services-africa","EAZZY TRANZACT PAYMENT SERVICES AFRICA LIMITED","EAZZY TRANZACT PAYMENT SERVICES AFRICA","remittance-imto","","officially-verified","official-website-and-logo-source-required"
"echezona-digital-gateway","Echezona Digital Gateway Limited","Echezona Digital Gateway","payment-solution-service-provider","","officially-verified","official-website-and-logo-source-required"
"techecho-innovations","TECHECHO INNOVATIONS LIMITED","ECHOLOAN","digital-lender","","officially-verified","official-website-and-logo-source-required"
"eco-insurance-brokers","Eco Insurance Brokers Ltd","Eco Insurance Brokers","insurance-broker","","officially-verified","official-website-and-logo-source-required"
"tranquilux-tech","TRANQUILUX-TECH LIMITED","ECO KASH","digital-lender","","officially-verified","official-website-and-logo-source-required"
"eco-pillar-insurance-brokers","Eco-Pillar Insurance Brokers Ltd","Eco-Pillar Insurance Brokers","insurance-broker","","officially-verified","official-website-and-logo-source-required"
"econ-credit-fintech","ECON CREDIT FINTECH LIMITED","ECON MART","digital-lender","","officially-verified","official-website-and-logo-source-required"
"eco-pay-globe","ECO PAY GLOBE LIMITED","ECOPAY","digital-lender","","officially-verified","official-website-and-logo-source-required"
"ecp-insurance-brokers","ECP Insurance Brokers Limited","ECP Insurance Brokers","insurance-broker","","officially-verified","official-website-and-logo-source-required"
"techedge-digital-solutions","TECHEDGE DIGITAL SOLUTIONS LIMITED","EDGELOAN","digital-lender","","officially-verified","official-website-and-logo-source-required"
"competence-asset-management","COMPETENCE ASSET MANAGEMENT LIMITED","EDIKE","digital-lender","","officially-verified","official-website-and-logo-source-required"
"edison-and-partners-insurance-brokers","Edison &Partners Insurance Brokers Ltd","Edison &Partners Insurance Brokers","insurance-broker","","officially-verified","official-website-and-logo-source-required"
"leeburg-technology","LEEBURG TECHNOLOGY LIMITED","EDONENTER","digital-lender","","officially-verified","official-website-and-logo-source-required"
"effacc-insurance-brokers","EFFACC Insurance Brokers Ltd","EFFACC Insurance Brokers","insurance-broker","","officially-verified","official-website-and-logo-source-required"
"egole-pay","Egole Pay Limited","Egole Pay","super-agent","","officially-verified","official-website-and-logo-source-required"
"ekruz-solution","EKRUZ SOLUTION LTD","EKRUZ SWIFE LOAN","digital-lender","","officially-verified","official-website-and-logo-source-required"
"el-jean-insurance-brokers","El -Jean Insurance Brokers Ltd","El -Jean Insurance Brokers","insurance-broker","","officially-verified","official-website-and-logo-source-required"
"el-gris-insurance-brokers","EL GRIS INSURANCE BROKERS LIMITED","EL GRIS INSURANCE BROKERS","insurance-broker","","officially-verified","official-website-and-logo-source-required"
"ela-insurance-brokers","Ela Insurance Brokers Ltd","Ela Insurance Brokers","insurance-broker","","officially-verified","official-website-and-logo-source-required"
"elephant-globe","ELEPHANT GLOBE LIMITED","ELEPHANT","digital-lender","","officially-verified","official-website-and-logo-source-required"
"elipa-payments","Elipa Payments Limited","Elipa Payments","payment-solution-service-provider","","officially-verified","official-website-and-logo-source-required"
"eliwad-insurance-brokers","Eliwad Insurance Brokers Ltd","Eliwad Insurance Brokers","insurance-broker","","officially-verified","official-website-and-logo-source-required"
"end2end-technologies","End2end Technologies Limited","End2end Technologies","payment-solution-service-provider","","officially-verified","official-website-and-logo-source-required"
"enterprise-nigeria-life-assurance-company","Enterprise Nigeria Life Assurance Company Ltd","Enterprise Nigeria Life Assurance Company","insurer","","officially-verified","official-website-and-logo-source-required"
"enterprise-trust-insurance-brokers","Enterprise Trust Insurance Brokers Ltd","Enterprise Trust Insurance Brokers","insurance-broker","","officially-verified","official-website-and-logo-source-required"
"epic-insurance-brokers-l-t-d","Epic Insurance Brokers L.t.d","Epic Insurance Brokers L.t.d","insurance-broker","","officially-verified","official-website-and-logo-source-required"
"epic-payment-technologies","Epic Payment Technologies Limited","Epic Payment Technologies","super-agent","","officially-verified","official-website-and-logo-source-required"
"epicure-insurance-brokers","Epicure Insurance Brokers Ltd","Epicure Insurance Brokers","insurance-broker","","officially-verified","official-website-and-logo-source-required"
"equity-providers-insurance-brokers-l-t-d","Equity Providers Insurance Brokers L.t.d","Equity Providers Insurance Brokers L.t.d","insurance-broker","","officially-verified","official-website-and-logo-source-required"
"erawell-insurance-brokers","Erawell Insurance Brokers Ltd","Erawell Insurance Brokers","insurance-broker","","officially-verified","official-website-and-logo-source-required"
"ercas-integrated-solutions","Ercas Integrated Solutions Limited","Ercas Integrated Solutions","payment-solution-service-provider","","officially-verified","official-website-and-logo-source-required"
"errand-p","Errand P Limited","Errand P","super-agent","","officially-verified","official-website-and-logo-source-required"
"eternalie-risk-insurance-brokers-l-t-d","Eternalie Risk Insurance Brokers L.t.d","Eternalie Risk Insurance Brokers L.t.d","insurance-broker","","officially-verified","official-website-and-logo-source-required"
"etiti-worldwide-innovations","ETITI WORLDWIDE INNOVATIONS LIMITED","ETITI WORLDWIDE INNOVATIONS","remittance-imto","","officially-verified","official-website-and-logo-source-required"
"etop","Etop Nigeria Limited","Etop","payment-terminal-service-provider","","officially-verified","official-website-and-logo-source-required"
"etranzact-international","eTranzact International Limited","eTranzact International","switching-processing","","officially-verified","official-website-and-logo-source-required"
"evoa-insurance-brokers","Evoa Insurance Brokers Ltd","Evoa Insurance Brokers","insurance-broker","","officially-verified","official-website-and-logo-source-required"
"exactrem","EXACTREM LIMITED","EXACTREM","remittance-imto","","officially-verified","official-website-and-logo-source-required"
"express-security-insurance-brokers-l-t-d","Express Security Insurance Brokers L.t.d","Express Security Insurance Brokers L.t.d","insurance-broker","","officially-verified","official-website-and-logo-source-required"
"xtra-mfs","XTRA MFS NIGERIA LIMITED","EXTRA CASH","digital-lender","","officially-verified","official-website-and-logo-source-required"
"winnorizon-tech-services","WINNORIZON TECH SERVICES LIMITED","EYO CREDIT","digital-lender","","officially-verified","official-website-and-logo-source-required"
"first-primus-systems","FIRST PRIMUS SYSTEMS LTD","EZZYMEANS","digital-lender","","officially-verified","official-website-and-logo-source-required"
"f-a-oni-insurance-brokers","F.A Oni Insurance Brokers Ltd","F.A Oni Insurance Brokers","insurance-broker","","officially-verified","official-website-and-logo-source-required"
"edgeplus-capital","EDGEPLUS CAPITAL LIMITED","FACTORWISE","digital-lender","","officially-verified","official-website-and-logo-source-required"
"fairsure-payments","Fairsure Payments Limited","Fairsure Payments","payment-solution-service-provider","","officially-verified","official-website-and-logo-source-required"
"faith-trust-insurance-brokers","Faith Trust Insurance Brokers Ltd","Faith Trust Insurance Brokers","insurance-broker","","officially-verified","official-website-and-logo-source-required"
"green-family-loan","GREEN FAMILY LOAN LTD","FAMILY MOBILE","digital-lender","","officially-verified","official-website-and-logo-source-required"
"fasaha-intercontinental-insurance-brokers","Fasaha Intercontinental Insurance Brokers Ltd","Fasaha Intercontinental Insurance Brokers","insurance-broker","","officially-verified","official-website-and-logo-source-required"
"inchoi-technology","INCHOI TECHNOLOGY NIGERIA LIMITED","FASTCASH","digital-lender","","officially-verified","official-website-and-logo-source-required"
"fastcash-global","FASTCASH GLOBAL LIMITED","FASTCASHMOBILE","digital-lender","","officially-verified","official-website-and-logo-source-required"
"uthinking","UTHINKING NIGERIA LIMITED","FASTCENT","digital-lender","","officially-verified","official-website-and-logo-source-required"
"conrado-lending","CONRADO LENDING LIMITED","FASTFUND","digital-lender","","officially-verified","official-website-and-logo-source-required"
"favour-insurance-brokers","Favour Insurance Brokers Ltd","Favour Insurance Brokers","insurance-broker","","officially-verified","official-website-and-logo-source-required"
"fbnquest-merchant-bank","FBNQuest Merchant Bank Limited","FBNQuest Merchant Bank","merchant-bank","","officially-verified","official-website-and-logo-source-required"
"fbs-reinsurance","FBS Reinsurance Ltd","FBS Reinsurance","reinsurer","","officially-verified","official-website-and-logo-source-required"
"fd-insurance-brokers","FD Insurance Brokers Ltd","FD Insurance Brokers","insurance-broker","","officially-verified","official-website-and-logo-source-required"
"fefe-iy-and-partners-insurance-brokers","Fefe-IY & Partners Insurance Brokers Ltd","Fefe-IY & Partners Insurance Brokers","insurance-broker","","officially-verified","official-website-and-logo-source-required"
"fengate-insurance-brokers-l-t-d","Fengate Insurance Brokers L.t.d","Fengate Insurance Brokers L.t.d","insurance-broker","","officially-verified","official-website-and-logo-source-required"
"fewchore-finance-company","FEWCHORE FINANCE COMPANY LIMITED","FEWCHORE PAY","digital-lender","","officially-verified","official-website-and-logo-source-required"
"feybil-insurance-brokers-l-t-d","Feybil Insurance Brokers L.t.d","Feybil Insurance Brokers L.t.d","insurance-broker","","officially-verified","official-website-and-logo-source-required"
"fgil-insurance-brokers","FGIL Insurance Brokers Ltd","FGIL Insurance Brokers","insurance-broker","","officially-verified","official-website-and-logo-source-required"
"fidelity-pension-managers","Fidelity Pension Managers Limited","Fidelity Pension Managers","pension-fund-administrator","","officially-verified","official-website-and-logo-source-required"
"fidesic","Fidesic Nigeria Limited","Fidesic","payment-terminal-service-provider","","officially-verified","official-website-and-logo-source-required"
"fifame-insurance-brokers","Fifame Insurance Brokers Ltd","Fifame Insurance Brokers","insurance-broker","","officially-verified","official-website-and-logo-source-required"
"figours-innovation","Figours Innovation Limited","Figours Innovation","payment-solution-service-provider","","officially-verified","official-website-and-logo-source-required"
"fin-server","FIN SERVER LTD","FIN SERVER","digital-lender","","officially-verified","official-website-and-logo-source-required"
"sinofin","SINOFIN LIMITED","FINCREDIT","digital-lender","","officially-verified","official-website-and-logo-source-required"
"crestbeam","CRESTBEAM NIGERIA LIMITED","FINECREDIT","digital-lender","","officially-verified","official-website-and-logo-source-required"
"iferox-filex","IFEROX FILEX NIGERIA LTD","FINJARA","digital-lender","","officially-verified","official-website-and-logo-source-required"
"finpadi-technologies","FINPADI TECHNOLOGIES LIMITED","FINPADI","digital-lender","","officially-verified","official-website-and-logo-source-required"
"finserve-investment","FINSERVE INVESTMENT LIMITED","FINSERVE","digital-lender","","officially-verified","official-website-and-logo-source-required"
"finspa-investment","FINSPA INVESTMENT LIMITED","FINSPA MOBILE","digital-lender","","officially-verified","official-website-and-logo-source-required"
"firm-t-global-insurance-brokers","Firm-T Global Insurance Brokers Ltd","Firm-T Global Insurance Brokers","insurance-broker","","officially-verified","official-website-and-logo-source-required"
"firmus-microfinance-bank","FIRMUS MICROFINANCE BANK LIMITED","FIRMUS MOBILE","digital-lender","","officially-verified","official-website-and-logo-source-required"
"firmus-retail-services","FIRMUS RETAIL SERVICES LIMITED","FIRMUS MONIE","digital-lender","","officially-verified","official-website-and-logo-source-required"
"first-city-global-insurance-brokers-l-t-d","First City Global Insurance Brokers L.t.d","First City Global Insurance Brokers L.t.d","insurance-broker","","officially-verified","official-website-and-logo-source-required"
"first-cornerstone-insurance-brokers","First Cornerstone Insurance Brokers Ltd","First Cornerstone Insurance Brokers","insurance-broker","","officially-verified","official-website-and-logo-source-required"
"first-dominion-insurance-brokers-l-t-d","First Dominion Insurance Brokers L.t.d","First Dominion Insurance Brokers L.t.d","insurance-broker","","officially-verified","official-website-and-logo-source-required"
"first-guaranty-risk-solutions-insurance-brokers-lt","First Guaranty Risk Solutions Insurance Brokers Lt","First Guaranty Risk Solutions Insurance Brokers Lt","insurance-broker","","officially-verified","official-website-and-logo-source-required"
"first-holdco","First HoldCo Plc","First HoldCo","financial-holding-company","","officially-verified","official-website-and-logo-source-required"
"first-insurance-brokers","First Insurance brokers Ltd","First Insurance brokers","insurance-broker","","officially-verified","official-website-and-logo-source-required"
"first-link-insurance-brokers","First Link Insurance Brokers Ltd","First Link Insurance Brokers","insurance-broker","","officially-verified","official-website-and-logo-source-required"
"first-pension-custodian","First Pension Custodian Nigeria Limited","First Pension Custodian","pension-fund-custodian","","officially-verified","official-website-and-logo-source-required"
"first-standard-insurance-brokers-l-t-d","First Standard Insurance Brokers L.t.d","First Standard Insurance Brokers L.t.d","insurance-broker","","officially-verified","official-website-and-logo-source-required"
"first-trust-insurance-brokers","First Trust Insurance Brokers Ltd","First Trust Insurance Brokers","insurance-broker","","officially-verified","official-website-and-logo-source-required"
"firstspring-insurance-brokers","FirstSpring Insurance Brokers Ltd","FirstSpring Insurance Brokers","insurance-broker","","officially-verified","official-website-and-logo-source-required"
"eager-wing","EAGER WING NIGERIA LIMITED","FLASH LOAN","digital-lender","","officially-verified","official-website-and-logo-source-required"
"kreston-finance","KRESTON FINANCE LIMITED","FLASHLEND LOAN","digital-lender","","officially-verified","official-website-and-logo-source-required"
"flawless-insurance-brokers-l-t-d","Flawless Insurance Brokers L.t.d","Flawless Insurance Brokers L.t.d","insurance-broker","","officially-verified","official-website-and-logo-source-required"
"flex-financial-technologies","FLEX FINANCIAL TECHNOLOGIES","FLEXFINANCE","digital-lender","","officially-verified","official-website-and-logo-source-required"
"flexi-microfinance-company","FLEXI MICROFINANCE COMPANY LIMITED","FLEXIBANK","digital-lender","","officially-verified","official-website-and-logo-source-required"
"flexible-insurance-brokers","Flexible Insurance Brokers Ltd","Flexible Insurance Brokers","insurance-broker","","officially-verified","official-website-and-logo-source-required"
"multi-level-fin-solutions","MULTI-LEVEL FIN SOLUTIONS LIMITED","FLEXILOAN","digital-lender","","officially-verified","official-website-and-logo-source-required"
"topeca-lending","TOPECA LENDING LIMITED","FLEXIVAULT","digital-lender","","officially-verified","official-website-and-logo-source-required"
"flickwheel","FLICKWHEEL LIMITED","FLICKWHEEL","digital-lender","","officially-verified","official-website-and-logo-source-required"
"swipebill-technologies","SWIPEBILL TECHNOLOGIES NIGERIA LIMITED","FLOAT -CASH","digital-lender","","officially-verified","official-website-and-logo-source-required"
"maven-finance","MAVEN FINANCE LIMITED","FLOATR","digital-lender","","officially-verified","official-website-and-logo-source-required"
"floodgate-insurance-brokers","Floodgate Insurance Brokers Ltd","Floodgate Insurance Brokers","insurance-broker","","officially-verified","official-website-and-logo-source-required"
"flourish-insurance-brokers-l-t-d","Flourish Insurance Brokers L.t.d","Flourish Insurance Brokers L.t.d","insurance-broker","","officially-verified","official-website-and-logo-source-required"
"fluna-capital","FLUNA CAPITAL LIMITED","FLUNA","digital-lender","","officially-verified","official-website-and-logo-source-required"
"fmg-insurance-brokers","FMG Insurance Brokers Ltd","FMG Insurance Brokers","insurance-broker","","officially-verified","official-website-and-logo-source-required"
"first-midas-microfinance-bank","FIRST MIDAS MICROFINANCE BANK","FMPAY","digital-lender","","officially-verified","official-website-and-logo-source-required"
"first-marina-trust-finance-company","FIRST MARINA TRUST FINANCE COMPANY LIMITED","FMTSPACE INVESTMENT","digital-lender","","officially-verified","official-website-and-logo-source-required"
"fobex-philex-insurance-brokers-l-t-d","Fobex (Philex) Insurance Brokers L.t.d","Fobex (Philex) Insurance Brokers L.t.d","insurance-broker","","officially-verified","official-website-and-logo-source-required"
"fobs-insurance-brokers-l-t-d","FOBS Insurance Brokers L.t.d","FOBS Insurance Brokers L.t.d","insurance-broker","","officially-verified","official-website-and-logo-source-required"
"fortegate-insurance-brokers","Fortegate Insurance Brokers Ltd","Fortegate Insurance Brokers","insurance-broker","","officially-verified","official-website-and-logo-source-required"
"fortis-mobile-money","Fortis Mobile Money Limited","Fortis Mobile Money","mobile-money-operator","","officially-verified","official-website-and-logo-source-required"
"fortitude-insurance-brokers","Fortitude Insurance Brokers Limited","Fortitude Insurance Brokers","insurance-broker","","officially-verified","official-website-and-logo-source-required"
"fountain-insurance-brokers","Fountain Insurance Brokers Ltd","Fountain Insurance Brokers","insurance-broker","","officially-verified","official-website-and-logo-source-required"
"fountain-payment-systems-solution","Fountain Payment Systems Solution","Fountain Payment Systems Solution","super-agent","","officially-verified","official-website-and-logo-source-required"
"franco-nigeria-insurance-brokers","Franco Nigeria Insurance Brokers Ltd","Franco Nigeria Insurance Brokers","insurance-broker","","officially-verified","official-website-and-logo-source-required"
"fsl-insurance-brokers-l-t-d","FSL Insurance Brokers L.t.d","FSL Insurance Brokers L.t.d","insurance-broker","","officially-verified","official-website-and-logo-source-required"
"bridgepoint-finance","BRIDGEPOINT FINANCE LIMITED","FUBRO APP AN CREDOZA","digital-lender","","officially-verified","official-website-and-logo-source-required"
"fucil-datatech","Fucil Datatech Limited","Fucil Datatech","super-agent","","officially-verified","official-website-and-logo-source-required"
"fuelcredit-com","FUELCREDIT COM LIMITED","FUELCREDIT","digital-lender","","officially-verified","official-website-and-logo-source-required"
"fulcrum-sigma-enterprise","FULCRUM SIGMA ENTERPRISE LTD","FULCRUMMONEY","digital-lender","","officially-verified","official-website-and-logo-source-required"
"deerleap-tech-company","DEERLEAP TECH COMPANY LIMITED","FUN BOX","digital-lender","","officially-verified","official-website-and-logo-source-required"
"fundbox-financial-services","FUNDBOX FINANCIAL SERVICES LIMITED","FUNDBOX FSL","digital-lender","","officially-verified","official-website-and-logo-source-required"
"fortunelink-lending","FORTUNELINK LENDING LIMITED","FUNDFLOW","digital-lender","","officially-verified","official-website-and-logo-source-required"
"funds-and-electronic-transfer-fets","Funds And Electronic Transfer (FETS) Limited","Funds And Electronic Transfer (FETS)","mobile-money-operator","","officially-verified","official-website-and-logo-source-required"
"funds-konnect-limited-formerly-funds-and-electronic-transfers-fets-limited","Funds Konnect Limited (Formerly Funds and Electronic Transfers (FETs)Limited)","Funds Konnect Limited (Formerly Funds and Electronic Transfers (FETs)Limited)","payment-terminal-service-provider","","officially-verified","official-website-and-logo-source-required"
"fundsflow-integrated-systems","FUNDSFLOW INTEGRATED SYSTEMS LIMITED","FUNDSFLOW","digital-lender","","officially-verified","official-website-and-logo-source-required"
"veltrix-comms","VELTRIX COMMS LTD","FUNDZONE","digital-lender","","officially-verified","official-website-and-logo-source-required"
"techfusion-africa-technologies","TECHFUSION AFRICA TECHNOLOGIES LIMITED","FUSE GO","digital-lender","","officially-verified","official-website-and-logo-source-required"
"nature-lending","NATURE LENDING NIGERIA LIMITED","FUTURECASH","digital-lender","","officially-verified","official-website-and-logo-source-required"
"futurepay-tech-solutions","Futurepay Tech Solutions Nigeria Limited","Futurepay Tech Solutions","payment-solution-service-provider","","officially-verified","official-website-and-logo-source-required"
"yegon-tech","YEGON TECH LTD","GALAXY CREDIT","digital-lender","","officially-verified","official-website-and-logo-source-required"
"galaxy-insurance-brokers-l-t-d","Galaxy Insurance Brokers L.t.d","Galaxy Insurance Brokers L.t.d","insurance-broker","","officially-verified","official-website-and-logo-source-required"
"gap-credit","GAP CREDIT LIMITED","GAP-GAP FINANCE FOR INDIVIDUAL","digital-lender","","officially-verified","official-website-and-logo-source-required"
"gaph-credit-and-lending","GAPH CREDIT & LENDING LIMITED","GAPHCREDIT.COM.NG","digital-lender","","officially-verified","official-website-and-logo-source-required"
"gdl-insurance-brokers","GDL Insurance Brokers Ltd","GDL Insurance Brokers","insurance-broker","","officially-verified","official-website-and-logo-source-required"
"gem-insurance-brokers","GEM Insurance Brokers Ltd","GEM Insurance Brokers","insurance-broker","","officially-verified","official-website-and-logo-source-required"
"gemspay","Gemspay Limited","Gemspay","payment-solution-service-provider","","officially-verified","official-website-and-logo-source-required"
"genesis-insurance-brokers","Genesis Insurance Brokers Ltd","Genesis Insurance Brokers","insurance-broker","","officially-verified","official-website-and-logo-source-required"
