"slug","legal_name","brand_name","primary_category","website","verification_status","reason"
"datapower-global-services","DATAPOWER GLOBAL SERVICES LTD","AI CREDIT","digital-lender","","officially-verified","official-website-and-logo-source-required"
"aibanc-technologies","AIBANC TECHNOLOGIES LIMITED","AIBANC MOBILE","digital-lender","","officially-verified","official-website-and-logo-source-required"
"ishiagu-microfinance-bank","ISHIAGU MICROFINANCE BANK LIMITED","AIDACREDIT","digital-lender","","officially-verified","official-website-and-logo-source-required"
"aiico-insurance","AIICO Insurance PLC","AIICO Insurance","insurer","","officially-verified","official-website-and-logo-source-required"
"commercemen-trading-co","COMMERCEMEN TRADING CO. LIMITED","AIRMONI","digital-lender","","officially-verified","official-website-and-logo-source-required"
"airtel-mobile-commerce-nigeria-limited-airtel","Airtel Mobile Commerce Nigeria Limited (Airtel)","Airtel Mobile Commerce Nigeria Limited (Airtel)","super-agent","","officially-verified","official-website-and-logo-source-required"
"akilaah-solution","AKILAAH SOLUTION LIMITED","AKILAAH","digital-lender","","officially-verified","official-website-and-logo-source-required"
"akupay-services","Akupay Services Limited","Akupay Services","payment-solution-service-provider","","officially-verified","official-website-and-logo-source-required"
"aladdin-scheme","ALADDIN SCHEME LIMITED","ALADDIN DIGITAL","digital-lender","","officially-verified","official-website-and-logo-source-required"
"alaje-technology","Alaje Technology Limited","Alaje Technology","payment-solution-service-provider","","officially-verified","official-website-and-logo-source-required"
"albert-thomas-insurance-brokers","Albert Thomas Insurance Brokers Ltd","Albert Thomas Insurance Brokers","insurance-broker","","officially-verified","official-website-and-logo-source-required"
"aleezah-nig","ALEEZAH NIG. LTD","ALEEZAH","digital-lender","","officially-verified","official-website-and-logo-source-required"
"little-ant","LITTLE ANT LIMITED","ALEND","digital-lender","","officially-verified","official-website-and-logo-source-required"
"alexander-reisse-insurance-brokers-l-t-d","Alexander Reisse Insurance Brokers L.t.d","Alexander Reisse Insurance Brokers L.t.d","insurance-broker","","officially-verified","official-website-and-logo-source-required"
"alfam-insurance-brokers","Alfam Insurance Brokers Ltd","Alfam Insurance Brokers","insurance-broker","","officially-verified","official-website-and-logo-source-required"
"alhikmah-insurance-brokers","Alhikmah Insurance Brokers Ltd","Alhikmah Insurance Brokers","insurance-broker","","officially-verified","official-website-and-logo-source-required"
"aliancepay","Aliancepay Limited","Aliancepay","payment-solution-service-provider","","officially-verified","official-website-and-logo-source-required"
"allawee-technologies","ALLAWEE TECHNOLOGIES LIMITED","ALLAWEE","digital-lender","","officially-verified","official-website-and-logo-source-required"
"allianz-nigeria-insurance","Allianz Nigeria Insurance Ltd","Allianz Nigeria Insurance","insurer","","officially-verified","official-website-and-logo-source-required"
"allstream-information-technology-solutions","Allstream Information Technology Solutions Limited","Allstream Information Technology Solutions","super-agent","","officially-verified","official-website-and-logo-source-required"
"ally-microinsurance","ALLY MICROINSURANCE LIMITED","ALLY MICROINSURANCE","insurer","","officially-verified","official-website-and-logo-source-required"
"alpha-choice-insurance-brokers-l-t-d","Alpha Choice Insurance Brokers L.t.d","Alpha Choice Insurance Brokers L.t.d","insurance-broker","","officially-verified","official-website-and-logo-source-required"
"alsan-insurance-brokers","Alsan Insurance Brokers Ltd","Alsan Insurance Brokers","insurance-broker","","officially-verified","official-website-and-logo-source-required"
"amana-venture","AMANA VENTURE LTD","AMANACASH","digital-lender","","officially-verified","official-website-and-logo-source-required"
"american-express-international","American Express International","American Express International","card-scheme","","officially-verified","official-website-and-logo-source-required"
"amicable-insurance-brokers","Amicable Insurance Brokers Ltd","Amicable Insurance Brokers","insurance-broker","","officially-verified","official-website-and-logo-source-required"
"anatole-insurance-brokers","Anatole Insurance Brokers Ltd","Anatole Insurance Brokers","insurance-broker","","officially-verified","official-website-and-logo-source-required"
"anchor-insurance-company","Anchor Insurance Company Ltd","Anchor Insurance Company","insurer","","officially-verified","official-website-and-logo-source-required"
"andray-finance","ANDRAY FINANCE LIMITED","ANDRAY FINANCE","digital-lender","","officially-verified","official-website-and-logo-source-required"
"angala-financial-technologies","Angala Financial Technologies Limited","Angala Financial Technologies","super-agent","","officially-verified","official-website-and-logo-source-required"
"anjie-consult-insurance-brokers","Anjie Consult Insurance Brokers Ltd","Anjie Consult Insurance Brokers","insurance-broker","","officially-verified","official-website-and-logo-source-required"
"antpay-international","ANTPAY INTERNATIONAL LIMITED","ANTPAY","digital-lender","","officially-verified","official-website-and-logo-source-required"
"apex-lending","APEX LENDING LIMITED","APEX LOAN","digital-lender","","officially-verified","official-website-and-logo-source-required"
"green-tech-innovations","GREEN TECH INNOVATIONS LIMITED","APLINCREDIT","digital-lender","","officially-verified","official-website-and-logo-source-required"
"newducks-nig","NEWDUCKS NIG LTD","APPCREDIT","digital-lender","","officially-verified","official-website-and-logo-source-required"
"appglobal-technologies","Appglobal Technologies Limited","Appglobal Technologies","payment-solution-service-provider","","officially-verified","official-website-and-logo-source-required"
"appmart-integrated","Appmart Integrated Limited","Appmart Integrated","super-agent","","officially-verified","official-website-and-logo-source-required"
"arca-payments-company","Arca Payments Company Limited","Arca Payments Company","switching-processing","","officially-verified","official-website-and-logo-source-required"
"arcon-insurance-brokers","Arcon Insurance Brokers Ltd","Arcon Insurance Brokers","insurance-broker","","officially-verified","official-website-and-logo-source-required"
"aremott-bandwill-and-company","Aremott Bandwill & Company Ltd","Aremott Bandwill & Company","insurance-broker","","officially-verified","official-website-and-logo-source-required"
"arisco-insurance-brokers","Arisco Insurance Brokers Ltd","Arisco Insurance Brokers","insurance-broker","","officially-verified","official-website-and-logo-source-required"
"arizona-insurance-brokers","Arizona Insurance Brokers Ltd","Arizona Insurance Brokers","insurance-broker","","officially-verified","official-website-and-logo-source-required"
"ark-insurance-brokers-l-t-d","Ark Insurance Brokers L.t.d","Ark Insurance Brokers L.t.d","insurance-broker","","officially-verified","official-website-and-logo-source-required"
"arlington-insurance-brokers","ARLINGTON INSURANCE BROKERS LIMITED","ARLINGTON INSURANCE BROKERS","insurance-broker","","officially-verified","official-website-and-logo-source-required"
"armstrong-insurance-brokers","Armstrong Insurance Brokers Ltd","Armstrong Insurance Brokers","insurance-broker","","officially-verified","official-website-and-logo-source-required"
"aru-and-jay-insurance-brokers","Aru and Jay Insurance Brokers Ltd","Aru and Jay Insurance Brokers","insurance-broker","","officially-verified","official-website-and-logo-source-required"
"asg-solutions-insurance-brokers","ASG Solutions Insurance Brokers Ltd","ASG Solutions Insurance Brokers","insurance-broker","","officially-verified","official-website-and-logo-source-required"
"ashmount-insurance-btokers-l-t-d","Ashmount Insurance Btokers L.t.d","Ashmount Insurance Btokers L.t.d","insurance-broker","","officially-verified","official-website-and-logo-source-required"
"aspapay","Aspapay Limited","Aspapay","payment-solution-service-provider","","officially-verified","official-website-and-logo-source-required"
"assent-insurance-brokers","Assent Insurance Brokers Ltd","Assent Insurance Brokers","insurance-broker","","officially-verified","official-website-and-logo-source-required"
"assure-capital-insurance-brokers","Assure Capital Insurance Brokers Ltd","Assure Capital Insurance Brokers","insurance-broker","","officially-verified","official-website-and-logo-source-required"
"atb-insurance-brokers","ATB Insurance Brokers Ltd","ATB Insurance Brokers","insurance-broker","","officially-verified","official-website-and-logo-source-required"
"atiat-insurance-brokers","Atiat Insurance Brokers Ltd","Atiat Insurance Brokers","insurance-broker","","officially-verified","official-website-and-logo-source-required"
"atn-wayya","ATN Wayya Limited","ATN Wayya","super-agent","","officially-verified","official-website-and-logo-source-required"
"atp-insurance-brokers","ATP Insurance Brokers Ltd","ATP Insurance Brokers","insurance-broker","","officially-verified","official-website-and-logo-source-required"
"auphilma-insurance-brokers","Auphilma Insurance Brokers Ltd","Auphilma Insurance Brokers","insurance-broker","","officially-verified","official-website-and-logo-source-required"
"austin-and-associates","Austin & Associates Ltd","Austin & Associates","insurance-broker","","officially-verified","official-website-and-logo-source-required"
"autocheck-financing-spv","AUTOCHECK FINANCING SPV NIGERIA LIMITED","AUTOCHEK","digital-lender","","officially-verified","official-website-and-logo-source-required"
"avenues-insurance-brokers","Avenues Insurance Brokers Ltd","Avenues Insurance Brokers","insurance-broker","","officially-verified","official-website-and-logo-source-required"
"avion-insurance-brokers","Avion Insurance Brokers Ltd","Avion Insurance Brokers","insurance-broker","","officially-verified","official-website-and-logo-source-required"
"aviva-insurance-brokers-l-t-d","Aviva Insurance Brokers L.t.d","Aviva Insurance Brokers L.t.d","insurance-broker","","officially-verified","official-website-and-logo-source-required"
"olivermead-investment","OLIVERMEAD INVESTMENT LTD","AVRO","digital-lender","","officially-verified","official-website-and-logo-source-required"
"axis-insurance-brokers","Axis Insurance Brokers Ltd","Axis Insurance Brokers","insurance-broker","","officially-verified","official-website-and-logo-source-required"
"axton-insurance-brokers","AXTON INSURANCE BROKERS LTD","AXTON INSURANCE BROKERS","insurance-broker","","officially-verified","official-website-and-logo-source-required"
"ayg","AYG LIMITED","AYG","remittance-imto","","officially-verified","official-website-and-logo-source-required"
"ayot-global-synergy","AYOT GLOBAL SYNERGY LIMITED","AYOT GLOBAL SYNERGY","remittance-imto","","officially-verified","official-website-and-logo-source-required"
"bab-soul-insurance-brokers","BAB SOUL INSURANCE BROKERS LIMITED","BAB SOUL INSURANCE BROKERS","insurance-broker","","officially-verified","official-website-and-logo-source-required"
"kilofe-nig","KILOFE NIG. LTD","BAFF","digital-lender","","officially-verified","official-website-and-logo-source-required"
"baklay-insurance-brokers","Baklay Insurance Brokers Ltd","Baklay Insurance Brokers","insurance-broker","","officially-verified","official-website-and-logo-source-required"
"bridge-advance-lending","BRIDGE ADVANCE LENDING LIMITED","BALL","digital-lender","","officially-verified","official-website-and-logo-source-required"
"cornerblocks-services","CORNERBLOCKS SERVICES LIMITED","BANK ONE","digital-lender","","officially-verified","official-website-and-logo-source-required"
"banksome-global-insurance-brokers","Banksome Global Insurance Brokers Ltd","Banksome Global Insurance Brokers","insurance-broker","","officially-verified","official-website-and-logo-source-required"
"barbara-and-walter-insurance-brokers","Barbara & Walter Insurance Brokers Ltd","Barbara & Walter Insurance Brokers","insurance-broker","","officially-verified","official-website-and-logo-source-required"
"bas-insurance-brokers","BAS Insurance Brokers Ltd","BAS Insurance Brokers","insurance-broker","","officially-verified","official-website-and-logo-source-required"
"bc-madiebo-and-co-insurance-brokers","BC Madiebo & Co. Insurance Brokers Ltd","BC Madiebo & Co. Insurance Brokers","insurance-broker","","officially-verified","official-website-and-logo-source-required"
"mypy-technology","MYPY TECHNOLOGY LIMITED","BEASTKASH","digital-lender","","officially-verified","official-website-and-logo-source-required"
"belema-financial-technology","Belema Financial Technology Limited","Belema Financial Technology","switching-processing","","officially-verified","official-website-and-logo-source-required"
"bellcrest-insurance-brokers","Bellcrest Insurance Brokers Ltd","Bellcrest Insurance Brokers","insurance-broker","","officially-verified","official-website-and-logo-source-required"
"beryls-management-limted","BERYLS MANAGEMENT LIMTED","BERYLS FINANCIALS","digital-lender","","officially-verified","official-website-and-logo-source-required"
"bestaff-payment-solutions","Bestaff Payment Solutions Limited","Bestaff Payment Solutions","super-agent","","officially-verified","official-website-and-logo-source-required"
"besthand-insurance-brokers","Besthand Insurance Brokers Ltd","Besthand Insurance Brokers","insurance-broker","","officially-verified","official-website-and-logo-source-required"
"bestie-insurance-brokers","BESTIE INSURANCE BROKERS LIMITED","BESTIE INSURANCE BROKERS","insurance-broker","","officially-verified","official-website-and-logo-source-required"
"pisi-technologies","PISI TECHNOLOGIES","BETA FINANCE","digital-lender","","officially-verified","official-website-and-logo-source-required"
