"slug","legal_name","brand_name","aliases","primary_category","categories","country_code","nigeria_presence","regulators","licence_types","regulatory_status","verification_status","website","source_urls","source_types","source_retrieved_at","logo_slug","added_at","updated_at"
"small-world-financial-services-group","SMALL WORLD FINANCIAL SERVICES GROUP LIMITED","SMALL WORLD FINANCIAL SERVICES GROUP","SMALL WORLD FINANCIAL SERVICES GROUP LIMITED","remittance-imto","remittance-imto","GB","foreign-authorized","CBN","International money transfer operator","active","officially-verified","","https://www.cbn.gov.ng/PaymentsSystem/InternationalMoneyTransferOperators.html","regulator","2026-07-13","","2026-07-13","2026-07-13"
"super-transfer-uk","SUPER TRANSFER UK LIMITED","SUPER TRANSFER UK","SUPER TRANSFER UK LIMITED","remittance-imto","remittance-imto","GB","foreign-authorized","CBN","International money transfer operator","active","officially-verified","","https://www.cbn.gov.ng/PaymentsSystem/InternationalMoneyTransferOperators.html","regulator","2026-07-13","","2026-07-13","2026-07-13"
"swift-payment","SWIFT PAYMENT LIMITED","SWIFT PAYMENT","SWIFT PAYMENT LIMITED","remittance-imto","remittance-imto","GB","foreign-authorized","CBN","International money transfer operator","active","officially-verified","","https://www.cbn.gov.ng/PaymentsSystem/InternationalMoneyTransferOperators.html","regulator","2026-07-13","","2026-07-13","2026-07-13"
"terra-payment-services-uk","TERRA PAYMENT SERVICES (UK) LIMITED","TERRA PAYMENT SERVICES (UK)","TERRA PAYMENT SERVICES (UK) LIMITED","remittance-imto","remittance-imto","GB","foreign-authorized","CBN","International money transfer operator","active","officially-verified","","https://www.cbn.gov.ng/PaymentsSystem/InternationalMoneyTransferOperators.html","regulator","2026-07-13","","2026-07-13","2026-07-13"
"tetrad-incorporation","TETRAD INCORPORATION LIMITED","TETRAD INCORPORATION","TETRAD INCORPORATION LIMITED","remittance-imto","remittance-imto","GB","foreign-authorized","CBN","International money transfer operator","active","officially-verified","","https://www.cbn.gov.ng/PaymentsSystem/InternationalMoneyTransferOperators.html","regulator","2026-07-13","","2026-07-13","2026-07-13"
"transfer-zero-money-transfer-e-p-s-a","TRANSFER ZERO MONEY TRANSFER E.P., S.A","TRANSFER ZERO MONEY TRANSFER E.P., S.A","","remittance-imto","remittance-imto","ES","foreign-authorized","CBN","International money transfer operator","active","officially-verified","","https://www.cbn.gov.ng/PaymentsSystem/InternationalMoneyTransferOperators.html","regulator","2026-07-13","","2026-07-13","2026-07-13"
"transferto-mobile-financial-services-limited-thunes","TRANSFERTO MOBILE FINANCIAL SERVICES LIMITED (THUNES)","TRANSFERTO MOBILE FINANCIAL SERVICES LIMITED (THUNES)","","remittance-imto","remittance-imto","GB","foreign-authorized","CBN","International money transfer operator","active","officially-verified","","https://www.cbn.gov.ng/PaymentsSystem/InternationalMoneyTransferOperators.html","regulator","2026-07-13","","2026-07-13","2026-07-13"
"vertofx","VERTOFX LTD","VERTOFX","VERTOFX LTD","remittance-imto","remittance-imto","GB","foreign-authorized","CBN","International money transfer operator","active","officially-verified","","https://www.cbn.gov.ng/PaymentsSystem/InternationalMoneyTransferOperators.html","regulator","2026-07-13","","2026-07-13","2026-07-13"
"volopa-financial-services-scotland","VOLOPA FINANCIAL SERVICES (SCOTLAND) LIMITED","VOLOPA FINANCIAL SERVICES (SCOTLAND)","VOLOPA FINANCIAL SERVICES (SCOTLAND) LIMITED","remittance-imto","remittance-imto","GB","foreign-authorized","CBN","International money transfer operator","active","officially-verified","","https://www.cbn.gov.ng/PaymentsSystem/InternationalMoneyTransferOperators.html","regulator","2026-07-13","","2026-07-13","2026-07-13"
"waza-technologies","WAZA TECHNOLOGIES INC","WAZA TECHNOLOGIES","WAZA TECHNOLOGIES INC","remittance-imto","remittance-imto","US","foreign-authorized","CBN","International money transfer operator","active","officially-verified","","https://www.cbn.gov.ng/PaymentsSystem/InternationalMoneyTransferOperators.html","regulator","2026-07-13","","2026-07-13","2026-07-13"
"weblink-international","WEBLINK INTERNATIONAL LIMITED","WEBLINK INTERNATIONAL","WEBLINK INTERNATIONAL LIMITED","remittance-imto","remittance-imto","GB","foreign-authorized","CBN","International money transfer operator","active","officially-verified","","https://www.cbn.gov.ng/PaymentsSystem/InternationalMoneyTransferOperators.html","regulator","2026-07-13","","2026-07-13","2026-07-13"
"western-union","WESTERN UNION","WESTERN UNION","","remittance-imto","remittance-imto","MA","foreign-authorized","CBN","International money transfer operator","active","officially-verified","","https://www.cbn.gov.ng/PaymentsSystem/InternationalMoneyTransferOperators.html","regulator","2026-07-13","","2026-07-13","2026-07-13"
"worldremit","WORLDREMIT LIMITED","WORLDREMIT","WORLDREMIT LIMITED","remittance-imto","remittance-imto","GB","foreign-authorized","CBN","International money transfer operator","active","officially-verified","","https://www.cbn.gov.ng/PaymentsSystem/InternationalMoneyTransferOperators.html","regulator","2026-07-13","","2026-07-13","2026-07-13"
